 2110074.234235 6.412E-29 1.127E-07.06900.089  316.76990.74-.010785       6 0 0 15       0 0 0 01                    R 28e     466653343910 9 811    59.0   57.0
 2110074.810850 3.249E-30 5.218E-06.06930.090 1704.94190.74-.013494       0 0 0 51       1 0 0 01                    P 28e     466653293910 9 811    55.0   57.0
 2110075.119898 1.904E-30 2.108E-09.07620.104   60.87090.67-.007599       7 1 1 04       0 0 0 01                    R 12e     366653343910 9 811    27.0   25.0
 2110075.188505 5.492E-29 1.130E-07.06850.088  362.78830.75-.011032       6 0 0 15       0 0 0 01                    R 30e     466653343910 9 811    63.0   61.0
 2110076.103652 4.615E-29 1.134E-07.06810.086  411.92250.75-.011271       6 0 0 15       0 0 0 01                    R 32e     466653343910 9 811    67.0   65.0
 2110076.583487 2.555E-30 2.729E-09.07480.102   81.94010.68-.007941       7 1 1 04       0 0 0 01                    R 14e     366653343910 9 811    31.0   29.0
 2110076.979573 3.810E-29 1.139E-07.06770.084  464.17170.75-.011503       6 0 0 15       0 0 0 01                    R 34e     466653343910 9 811    71.0   69.0
 2110077.816126 3.087E-29 1.144E-07.06730.083  519.53500.76-.011729       6 0 0 15       0 0 0 01                    R 36e     466653343910 9 811    75.0   73.0
 2110077.997380 3.725E-30 5.240E-06.06990.092 1662.04020.73-.013262       0 0 0 51       1 0 0 01                    P 26e     466653293910 9 811    51.0   53.0
 2110078.032284 3.200E-30 3.407E-09.07370.100  106.12970.68-.008256       7 1 1 04       0 0 0 01                    R 16e     366653343910 9 811    35.0   33.0
 2110078.613130 2.460E-29 1.150E-07.06700.081  578.01160.76-.011948       6 0 0 15       0 0 0 01                    R 38e     466653343910 9 811    79.0   77.0
 2110079.370367 1.926E-29 1.156E-07.06680.080  639.60040.75-.012161       6 0 0 15       0 0 0 01                    R 40e     466653343910 9 811    83.0   81.0
 2110079.465872 3.785E-30 4.131E-09.07260.098  133.43930.69-.008552       7 1 1 04       0 0 0 01                    R 18e     366653343910 9 811    39.0   37.0
 2110080.087586 1.483E-29 1.163E-07.06650.078  704.30050.75-.012369       6 0 0 15       0 0 0 01                    R 42e     466553343910 9 811    87.0   85.0
 2110080.764504 1.123E-29 1.171E-07.06630.077  772.11070.75-.012571       6 0 0 15       0 0 0 01                    R 44e     465553343910 9 811    91.0   89.0
 2110080.883832 4.260E-30 4.890E-09.07170.096  163.86840.70-.008831       7 1 1 04       0 0 0 01                    R 20e     366653343910 9 811    43.0   41.0
 2110081.060990 4.180E-30 5.262E-06.07060.094 1622.25620.72-.013026       0 0 0 51       1 0 0 01                    P 24e     466653293910 9 811    47.0   49.0
 2110081.400814 8.364E-30 1.180E-07.06620.075  843.03010.74-.012769       6 0 0 15       0 0 0 01                    R 46e     465553343910 9 811    95.0   93.0
 2110081.996184 6.127E-30 1.189E-07.06590.074  917.05730.73-.012961       6 0 0 15       0 0 0 01                    R 48e     465553343910 9 811    99.0   97.0
 2110082.285755 4.586E-30 5.671E-09.07090.095  197.41660.71-.009096       7 1 1 04       0 0 0 01                    R 22e     366653343910 9 811    47.0   45.0
 2110082.550263 4.417E-30 1.199E-07.06560.073  994.19130.73-.013148       6 0 0 15       0 0 0 01                    R 50e     465553343910 9 811   103.0  101.0
 2110083.062686 3.135E-30 1.209E-07.06500.072 1074.43060.72-.013331       6 0 0 15       0 0 0 01                    R 52e     465543343910 9 811   107.0  105.0
