13113088.859584 4.760E-28 8.588E-05.04000.300 1324.31800.660.000000       X3/2   4       X3/2   0                QQ  8.5ef     232210 6 7 2 1 1 0    36.0   36.0
13113089.164679 4.986E-54 4.860E-02.04000.30015088.72530.660.000000       X3/2   8       X3/2   3                RR 17.5ff     232210 6 7 2 1 1 0    76.0   72.0
13113089.931774 1.975E-28 1.743E-04.04000.300 1650.81040.660.000000       X1/2   4       X3/2   0                QP  9.5ee     232210 6 7 2 1 1 0    36.0   40.0
13113091.475783 1.042E-47 5.350E-02.04000.30012144.64170.660.000000       X3/2   6       X3/2   1                PP 22.5ff     232210 6 7 2 1 1 0    88.0   92.0
13113092.187064 3.712E-54 3.451E-02.04000.30015078.84740.660.000000       X3/2   8       X3/2   3                RR 17.5ee     232210 6 7 2 1 1 0    76.0   72.0
13113092.244210 3.509E-61 4.324E-06.04000.30016614.42930.660.000000       X1/2   7       X3/2   2                RQ 24.5fe     232210 6 7 2 1 1 0   100.0  100.0
13113092.297209 3.745E-46 1.178E-04.04000.30010107.81440.660.000000       X3/2   6       X1/2   1                OP 18.5ff     232210 6 7 2 1 1 0    72.0   76.0
13113092.511446 1.913E-56 1.938E-04.04000.30015001.92090.660.000000       X1/2   9       X3/2   4                SR 10.5ee     232210 6 7 2 1 1 0    48.0   44.0
13113093.004593 4.128E-54 4.813E-02.04000.30015114.32280.660.000000       X1/2   8       X1/2   3                RR 16.5ee     232210 6 7 2 1 1 0    72.0   68.0
13113094.268084 2.155E-27 3.834E-04.04000.300 1321.27600.660.000000       X3/2   4       X3/2   0                QQ  8.5fe     232210 6 7 2 1 1 0    36.0   36.0
13113094.799402 2.974E-54 3.359E-02.04000.30015107.70840.660.000000       X1/2   8       X1/2   3                RR 16.5ff     232210 6 7 2 1 1 0    72.0   68.0
13113095.249737 4.931E-29 1.243E-05.04000.300 1368.71610.660.000000       X1/2   4       X1/2   0                QQ  7.5fe     232210 6 7 2 1 1 0    32.0   32.0
13113096.138842 9.035E-48 5.343E-02.04000.30012164.07520.660.000000       X1/2   6       X1/2   1                PP 21.5ee     232210 6 7 2 1 1 0    84.0   88.0
13113097.148855 1.997E-28 5.010E-05.04000.300 1367.61920.660.000000       X1/2   4       X1/2   0                QQ  7.5ef     232210 6 7 2 1 1 0    32.0   32.0
13113097.364312 1.359E-47 6.435E-02.04000.30012127.83500.660.000000       X3/2   6       X3/2   1                PP 22.5ee     232210 6 7 2 1 1 0    88.0   92.0
13113099.412289 2.726E-25 8.839E-04.08600.300  187.75310.660.000000       X3/2   4       X1/2   0                PQ  1.5ef     232210 6 7 2 1 1 0     8.0    8.0
13113099.711824 2.385E-25 7.726E-04.08600.300  187.49280.660.000000       X3/2   4       X1/2   0                PQ  1.5fe     232210 6 7 2 1 1 0     8.0    8.0
13113099.870049 3.379E-51 3.680E-03.04000.30013153.55700.660.000000       X3/2   8       X3/2   3                QQ 13.5ef     232210 6 7 2 1 1 0    56.0   56.0
13113100.482043 1.152E-47 6.422E-02.04000.30012151.76270.660.000000       X1/2   6       X1/2   1                PP 21.5ff     232210 6 7 2 1 1 0    84.0   88.0
13113101.190652 8.843E-56 2.181E-06.04000.30013878.82390.660.000000       X3/2   7       X1/2   2                QR 19.5ff     232210 6 7 2 1 1 0    84.0   80.0
13113103.608353 7.291E-47 2.463E-04.04000.30010528.84510.660.000000       X3/2   7       X1/2   2                OP 13.5ee     232210 6 7 2 1 1 0    52.0   56.0
13113103.755214 3.712E-32 8.724E-03.04000.300 4351.25820.660.000000       X3/2   4       X3/2   0                RR 15.5ff     232210 6 7 2 1 1 0    68.0   64.0
13113104.031710 3.772E-52 8.783E-03.04000.30013866.89050.660.000000       X3/2   7       X3/2   2                QQ 20.5ef     232210 6 7 2 1 1 0    84.0   84.0
